DRAW_NUMBER,DATE,YEAR_DRAW,NUMBER_1,NUMBER_2,NUMBER_3,NUMBER_4,NUMBER_5,STAR_1,STAR_2,NUMBER_OF_WINNERS,SORTEIO
846,2015-10-30,2015-10,34,13,17,8,21,6,7,0,Sexta-Feira
847,2015-11-03,2015-11,39,27,49,8,46,2,6,0,Terça-Feira
848,2015-11-06,2015-11,26,40,38,17,3,4,10,0,Sexta-Feira
849,2015-11-10,2015-11,43,39,13,6,18,2,8,0,Terça-Feira
850,2015-11-13,2015-11,33,10,18,40,17,8,2,0,Sexta-Feira
851,2015-11-17,2015-11,6,37,23,38,7,11,10,0,Terça-Feira
852,2015-11-20,2015-11,34,49,30,46,4,8,7,1,Sexta-Feira
853,2015-11-24,2015-11,26,14,17,9,16,10,11,0,Terça-Feira
854,2015-11-27,2015-11,50,16,30,37,29,6,8,0,Sexta-Feira
855,2015-12-01,2015-12,35,15,45,25,2,10,8,0,Terça-Feira
856,2015-12-04,2015-12,17,27,18,39,8,7,1,0,Sexta-Feira
857,2015-12-08,2015-12,48,29,12,38,17,9,11,0,Terça-Feira
858,2015-12-11,2015-12,43,5,21,3,40,11,6,0,Sexta-Feira
859,2015-12-15,2015-12,11,27,35,8,23,4,11,0,Terça-Feira
860,2015-12-18,2015-12,22,6,26,29,48,5,6,1,Sexta-Feira
861,2015-12-22,2015-12,19,41,18,40,20,7,10,0,Terça-Feira
862,2015-12-25,2015-12,10,27,40,3,25,9,3,0,Sexta-Feira
863,2015-12-29,2015-12,5,36,32,31,20,6,7,0,Terça-Feira
864,2016-01-01,2016-01,44,37,38,39,4,4,7,0,Sexta-Feira
865,2016-01-05,2016-01,36,10,6,39,31,6,10,0,Terça-Feira
866,2016-01-08,2016-01,35,33,26,40,5,3,8,0,Sexta-Feira
867,2016-01-12,2016-01,2,10,30,44,1,1,8,0,Terça-Feira
868,2016-01-15,2016-01,43,38,19,10,46,1,11,0,Sexta-Feira
869,2016-01-19,2016-01,2,30,38,43,46,7,2,0,Terça-Feira
870,2016-01-22,2016-01,27,10,30,47,12,9,8,0,Sexta-Feira
871,2016-01-26,2016-01,15,40,24,48,38,2,9,0,Terça-Feira
872,2016-01-29,2016-01,29,32,23,1,5,1,7,2,Sexta-Feira
873,2016-02-02,2016-02,36,21,10,6,9,6,2,1,Terça-Feira
874,2016-02-05,2016-02,46,32,27,3,41,4,8,0,Sexta-Feira
875,2016-02-09,2016-02,9,6,13,28,37,4,5,0,Terça-Feira
876,2016-02-12,2016-02,31,49,28,20,3,5,2,1,Sexta-Feira
877,2016-02-16,2016-02,3,22,50,10,37,6,10,0,Terça-Feira
878,2016-02-19,2016-02,32,13,14,39,30,3,9,0,Sexta-Feira
879,2016-02-23,2016-02,42,32,23,25,37,11,1,1,Terça-Feira
880,2016-02-26,2016-02,13,50,5,33,15,9,11,1,Sexta-Feira
881,2016-03-01,2016-03,37,7,28,13,4,11,10,0,Terça-Feira
882,2016-03-04,2016-03,9,23,40,16,14,1,5,0,Sexta-Feira
883,2016-03-08,2016-03,9,14,23,8,1,7,1,0,Terça-Feira
884,2016-03-11,2016-03,26,43,1,21,40,9,6,0,Sexta-Feira
885,2016-03-15,2016-03,7,10,5,44,34,10,2,0,Terça-Feira
886,2016-03-18,2016-03,14,49,21,19,24,5,11,1,Sexta-Feira
887,2016-03-22,2016-03,15,49,12,26,42,5,8,0,Terça-Feira
888,2016-03-25,2016-03,43,36,12,42,19,8,5,0,Sexta-Feira
889,2016-03-29,2016-03,4,25,19,36,1,3,11,0,Terça-Feira
890,2016-04-01,2016-04,23,25,2,49,16,6,9,0,Sexta-Feira
891,2016-04-05,2016-04,3,19,40,9,5,5,2,0,Terça-Feira
892,2016-04-08,2016-04,43,8,49,6,26,10,6,0,Sexta-Feira
893,2016-04-12,2016-04,9,1,5,22,38,10,2,1,Terça-Feira
894,2016-04-15,2016-04,13,32,37,14,48,1,7,0,Sexta-Feira
895,2016-04-19,2016-04,27,14,44,15,11,7,2,0,Terça-Feira
896,2016-04-22,2016-04,32,43,26,34,17,2,10,0,Sexta-Feira
897,2016-04-26,2016-04,10,42,17,32,31,2,5,0,Terça-Feira
898,2016-04-29,2016-04,4,25,28,5,43,6,11,0,Sexta-Feira
899,2016-05-03,2016-05,23,34,8,24,38,3,7,0,Terça-Feira
900,2016-05-06,2016-05,45,48,40,34,32,10,1,0,Sexta-Feira
901,2016-05-10,2016-05,40,2,26,27,49,10,5,1,Terça-Feira
902,2016-05-13,2016-05,31,28,42,15,7,10,11,0,Sexta-Feira
903,2016-05-17,2016-05,32,27,39,36,15,3,10,0,Terça-Feira
904,2016-05-20,2016-05,41,9,30,14,45,4,9,0,Sexta-Feira
905,2016-05-24,2016-05,37,17,34,16,23,9,6,0,Terça-Feira
906,2016-05-27,2016-05,46,27,13,43,25,4,8,0,Sexta-Feira
907,2016-05-31,2016-05,6,30,26,48,12,6,7,0,Terça-Feira
908,2016-06-03,2016-06,7,31,39,23,33,6,10,0,Sexta-Feira
909,2016-06-07,2016-06,26,49,19,45,35,2,5,0,Terça-Feira
910,2016-06-10,2016-06,21,35,42,14,43,7,9,1,Sexta-Feira
911,2016-06-14,2016-06,13,50,42,39,34,11,9,0,Terça-Feira
912,2016-06-17,2016-06,43,1,18,27,7,8,4,0,Sexta-Feira
913,2016-06-21,2016-06,32,35,17,49,5,5,1,0,Terça-Feira
914,2016-06-24,2016-06,11,19,39,28,27,3,10,1,Sexta-Feira
915,2016-06-28,2016-06,43,37,32,26,49,5,4,0,Terça-Feira
916,2016-07-01,2016-07,11,50,13,40,2,10,1,1,Sexta-Feira
917,2016-07-05,2016-07,38,29,10,48,1,4,3,0,Terça-Feira
918,2016-07-08,2016-07,12,18,8,44,33,8,4,0,Sexta-Feira
919,2016-07-12,2016-07,26,3,41,33,7,2,10,0,Terça-Feira
920,2016-07-15,2016-07,2,11,14,13,21,1,8,0,Sexta-Feira
921,2016-07-19,2016-07,24,37,19,28,36,6,3,0,Terça-Feira
922,2016-07-22,2016-07,26,45,24,7,37,9,5,0,Sexta-Feira
923,2016-07-26,2016-07,13,49,10,45,3,11,2,0,Terça-Feira
924,2016-07-29,2016-07,40,26,50,1,21,4,2,1,Sexta-Feira
925,2016-08-02,2016-08,27,46,38,2,8,2,6,0,Terça-Feira
926,2016-08-05,2016-08,19,16,24,37,35,2,7,0,Sexta-Feira
927,2016-08-09,2016-08,19,43,44,12,45,10,5,0,Terça-Feira
928,2016-08-12,2016-08,15,50,36,2,28,11,2,0,Sexta-Feira
929,2016-08-16,2016-08,34,37,46,26,2,4,8,0,Terça-Feira
930,2016-08-19,2016-08,22,6,5,25,34,7,5,1,Sexta-Feira
931,2016-08-23,2016-08,2,31,45,37,23,8,4,0,Terça-Feira
932,2016-08-26,2016-08,48,9,30,28,1,7,8,0,Sexta-Feira
933,2016-08-30,2016-08,29,42,13,16,35,6,8,0,Terça-Feira
934,2016-09-02,2016-09,50,40,16,32,8,2,11,5,Sexta-Feira
935,2016-09-06,2016-09,45,12,34,24,30,7,10,0,Terça-Feira
936,2016-09-09,2016-09,28,4,11,17,15,1,3,0,Sexta-Feira
937,2016-09-13,2016-09,44,16,4,7,35,3,1,0,Terça-Feira
938,2016-09-16,2016-09,32,5,22,8,14,2,11,1,Sexta-Feira
939,2016-09-20,2016-09,45,41,4,1,10,9,6,0,Terça-Feira
940,2016-09-23,2016-09,14,39,42,49,16,9,3,1,Sexta-Feira
941,2016-09-27,2016-09,41,6,13,39,9,2,12,0,Terça-Feira
942,2016-09-30,2016-09,35,44,17,37,43,10,2,0,Sexta-Feira
943,2016-10-04,2016-10,4,38,7,14,34,4,11,0,Terça-Feira
944,2016-10-07,2016-10,12,30,27,20,2,11,9,0,Sexta-Feira
945,2016-10-11,2016-10,12,37,20,24,5,4,11,1,Terça-Feira
946,2016-10-14,2016-10,31,34,19,7,13,11,1,0,Sexta-Feira
947,2016-10-18,2016-10,2,25,17,21,27,9,6,0,Terça-Feira
948,2016-10-21,2016-10,48,9,23,20,44,10,8,0,Sexta-Feira
949,2016-10-25,2016-10,28,15,21,3,20,5,1,1,Terça-Feira
950,2016-10-28,2016-10,23,43,10,19,16,8,2,1,Sexta-Feira
951,2016-11-01,2016-11,10,20,6,37,29,9,1,0,Terça-Feira
952,2016-11-04,2016-11,7,11,12,48,44,7,3,0,Sexta-Feira
953,2016-11-08,2016-11,49,47,9,50,5,9,8,1,Terça-Feira
954,2016-11-11,2016-11,38,49,3,22,23,9,2,0,Sexta-Feira
955,2016-11-15,2016-11,42,7,15,36,48,3,7,0,Terça-Feira
956,2016-11-18,2016-11,32,27,12,47,3,8,6,0,Sexta-Feira
957,2016-11-22,2016-11,47,10,5,33,34,10,2,0,Terça-Feira
958,2016-11-25,2016-11,28,23,5,11,17,10,11,2,Sexta-Feira
959,2016-11-29,2016-11,38,27,21,28,26,11,9,0,Terça-Feira
960,2016-12-02,2016-12,23,32,6,11,31,2,12,1,Sexta-Feira
961,2016-12-06,2016-12,27,1,7,11,45,9,4,0,Terça-Feira
962,2016-12-09,2016-12,6,40,37,28,12,1,5,0,Sexta-Feira
963,2016-12-13,2016-12,28,50,48,29,14,8,2,0,Terça-Feira
964,2016-12-16,2016-12,45,10,6,30,41,11,4,0,Sexta-Feira
965,2016-12-20,2016-12,15,27,13,21,17,3,2,1,Terça-Feira
966,2016-12-23,2016-12,46,39,16,20,4,5,2,0,Sexta-Feira
967,2016-12-27,2016-12,32,22,39,25,3,7,12,1,Terça-Feira
968,2016-12-30,2016-12,10,22,29,47,8,1,3,0,Sexta-Feira
969,2017-01-03,2017-01,34,27,49,23,19,11,1,0,Terça-Feira
970,2017-01-06,2017-01,21,14,49,10,18,9,11,0,Sexta-Feira
971,2017-01-10,2017-01,44,29,35,11,2,4,9,0,Terça-Feira
972,2017-01-13,2017-01,16,7,50,3,26,4,7,0,Sexta-Feira
973,2017-01-17,2017-01,43,4,25,16,47,10,2,0,Terça-Feira
974,2017-01-20,2017-01,17,10,27,49,31,3,5,0,Sexta-Feira
975,2017-01-24,2017-01,5,1,23,17,7,3,8,1,Terça-Feira
976,2017-01-27,2017-01,28,45,20,17,48,9,5,0,Sexta-Feira
977,2017-01-31,2017-01,4,17,44,23,3,6,9,1,Terça-Feira
978,2017-02-03,2017-02,3,4,50,46,15,9,5,0,Sexta-Feira
979,2017-02-07,2017-02,44,38,4,31,10,10,8,0,Terça-Feira
980,2017-02-10,2017-02,43,26,7,35,21,9,2,0,Sexta-Feira
981,2017-02-14,2017-02,44,40,24,2,10,3,10,2,Terça-Feira
982,2017-02-17,2017-02,25,19,33,36,48,2,9,1,Sexta-Feira
983,2017-02-21,2017-02,19,41,49,13,45,4,3,0,Terça-Feira
984,2017-02-24,2017-02,13,2,43,22,4,8,9,0,Sexta-Feira
985,2017-02-28,2017-02,35,31,10,42,20,2,12,0,Terça-Feira
986,2017-03-03,2017-03,47,2,11,29,30,12,1,0,Sexta-Feira
987,2017-03-07,2017-03,6,37,50,41,48,5,4,0,Terça-Feira
988,2017-03-10,2017-03,38,49,31,47,36,8,11,0,Sexta-Feira
989,2017-03-14,2017-03,21,5,44,36,3,3,6,1,Terça-Feira
990,2017-03-17,2017-03,19,29,36,6,10,9,3,0,Sexta-Feira
991,2017-03-21,2017-03,47,23,20,44,1,11,4,0,Terça-Feira
992,2017-03-24,2017-03,2,21,17,27,34,5,9,0,Sexta-Feira
993,2017-03-28,2017-03,33,13,46,9,31,6,10,0,Terça-Feira
994,2017-03-31,2017-03,24,26,45,17,28,4,12,0,Sexta-Feira
995,2017-04-04,2017-04,24,33,9,1,34,2,6,0,Terça-Feira
996,2017-04-07,2017-04,35,10,2,50,19,7,6,0,Sexta-Feira
997,2017-04-11,2017-04,22,5,31,49,21,8,2,1,Terça-Feira
998,2017-04-14,2017-04,33,20,4,14,23,6,10,0,Sexta-Feira
999,2017-04-18,2017-04,22,17,45,38,31,12,5,0,Terça-Feira
1000,2017-04-21,2017-04,2,13,22,49,16,4,5,0,Sexta-Feira
1001,2017-04-25,2017-04,11,9,32,19,43,3,9,0,Terça-Feira
1002,2017-04-28,2017-04,20,25,30,39,14,8,2,0,Sexta-Feira
1003,2017-05-02,2017-05,27,25,19,6,23,12,11,0,Terça-Feira
1004,2017-05-05,2017-05,7,43,30,3,35,1,3,0,Sexta-Feira
1005,2017-05-09,2017-05,26,22,16,12,8,7,6,0,Terça-Feira
1006,2017-05-12,2017-05,2,28,29,44,20,3,9,0,Sexta-Feira
1007,2017-05-16,2017-05,20,8,30,11,15,3,8,0,Terça-Feira
1008,2017-05-19,2017-05,30,12,9,19,11,9,4,0,Sexta-Feira
1009,2017-05-23,2017-05,15,8,42,25,27,1,4,0,Terça-Feira
1010,2017-05-26,2017-05,36,5,39,7,26,2,10,0,Sexta-Feira
1011,2017-05-30,2017-05,27,48,38,12,7,9,6,0,Terça-Feira
1012,2017-06-02,2017-06,8,42,33,24,10,9,3,1,Sexta-Feira
1013,2017-06-06,2017-06,25,40,20,22,37,7,3,0,Terça-Feira
1014,2017-06-09,2017-06,9,39,27,20,43,11,10,0,Sexta-Feira
1015,2017-06-13,2017-06,12,3,22,27,49,11,4,0,Terça-Feira
1016,2017-06-16,2017-06,38,42,15,17,41,9,12,0,Sexta-Feira
1017,2017-06-20,2017-06,44,43,11,18,26,8,10,0,Terça-Feira
1018,2017-06-23,2017-06,4,31,21,3,38,3,7,0,Sexta-Feira
1019,2017-06-27,2017-06,45,17,21,9,28,1,3,0,Terça-Feira
1020,2017-06-30,2017-06,35,50,39,17,47,6,8,1,Sexta-Feira
1021,2017-07-04,2017-07,22,25,10,37,49,8,5,0,Terça-Feira
1022,2017-07-07,2017-07,45,37,20,35,11,3,6,1,Sexta-Feira
1023,2017-07-11,2017-07,50,26,42,22,14,8,10,1,Terça-Feira
1024,2017-07-14,2017-07,21,14,20,47,11,10,7,0,Sexta-Feira
1025,2017-07-18,2017-07,41,27,1,45,25,7,5,0,Terça-Feira
1026,2017-07-21,2017-07,8,1,26,49,9,9,5,0,Sexta-Feira
1027,2017-07-25,2017-07,14,44,43,48,12,11,2,0,Terça-Feira
1028,2017-07-28,2017-07,41,9,31,5,29,4,2,1,Sexta-Feira
1029,2017-08-01,2017-08,29,24,21,30,14,10,8,0,Terça-Feira
1030,2017-08-04,2017-08,29,30,41,40,36,9,2,0,Sexta-Feira
1031,2017-08-08,2017-08,26,15,40,25,41,4,5,1,Terça-Feira
1032,2017-08-11,2017-08,39,48,28,46,18,12,5,0,Sexta-Feira
1033,2017-08-15,2017-08,14,30,46,10,35,4,10,0,Terça-Feira
1034,2017-08-18,2017-08,39,42,24,45,2,2,8,0,Sexta-Feira
1035,2017-08-22,2017-08,10,12,17,3,27,3,5,1,Terça-Feira
1036,2017-08-25,2017-08,15,7,1,47,5,9,12,1,Sexta-Feira
1037,2017-08-29,2017-08,4,12,32,15,38,1,5,0,Terça-Feira
1038,2017-09-01,2017-09,8,7,3,14,49,5,8,1,Sexta-Feira
1039,2017-09-05,2017-09,28,18,29,6,9,9,1,0,Terça-Feira
1040,2017-09-08,2017-09,42,47,24,49,9,1,5,0,Sexta-Feira
1041,2017-09-12,2017-09,35,17,29,10,27,4,11,0,Terça-Feira
1042,2017-09-15,2017-09,44,49,13,18,37,9,12,0,Sexta-Feira
1043,2017-09-19,2017-09,45,21,1,8,30,3,2,0,Terça-Feira
1044,2017-09-22,2017-09,6,31,39,42,11,3,1,0,Sexta-Feira
1045,2017-09-26,2017-09,40,29,1,48,41,12,6,0,Terça-Feira
1046,2017-09-29,2017-09,18,32,7,48,19,3,7,0,Sexta-Feira
1047,2017-10-03,2017-10,32,6,50,24,48,1,5,0,Terça-Feira
1048,2017-10-06,2017-10,15,1,9,25,19,1,7,1,Sexta-Feira
1049,2017-10-10,2017-10,36,4,37,21,34,6,3,0,Terça-Feira
1050,2017-10-13,2017-10,23,37,50,29,45,5,11,0,Sexta-Feira
1051,2017-10-17,2017-10,19,26,17,13,36,2,3,0,Terça-Feira
1052,2017-10-20,2017-10,4,27,23,30,17,3,8,0,Sexta-Feira
1053,2017-10-24,2017-10,27,9,33,13,11,10,7,1,Terça-Feira
1054,2017-10-27,2017-10,39,23,16,32,3,1,4,1,Sexta-Feira
1055,2017-10-31,2017-10,46,12,43,36,1,3,5,0,Terça-Feira
1056,2017-11-03,2017-11,41,5,33,17,12,4,9,1,Sexta-Feira
1057,2017-11-07,2017-11,37,19,41,20,7,12,2,0,Terça-Feira
1058,2017-11-10,2017-11,37,36,29,22,13,1,9,0,Sexta-Feira
1059,2017-11-14,2017-11,16,40,39,41,14,8,10,0,Terça-Feira
1060,2017-11-17,2017-11,35,36,26,42,20,5,12,0,Sexta-Feira
1061,2017-11-21,2017-11,31,28,10,2,14,7,5,0,Terça-Feira
1062,2017-11-24,2017-11,28,24,50,19,30,10,3,0,Sexta-Feira
1063,2017-11-28,2017-11,42,1,12,6,18,2,7,0,Terça-Feira
1064,2017-12-01,2017-12,5,46,29,35,24,11,12,0,Sexta-Feira
1065,2017-12-05,2017-12,48,11,44,43,36,2,7,0,Terça-Feira
1066,2017-12-08,2017-12,34,32,22,30,4,4,3,0,Sexta-Feira
1067,2017-12-12,2017-12,39,20,37,50,44,4,8,0,Terça-Feira
1068,2017-12-15,2017-12,25,42,30,50,31,11,2,0,Sexta-Feira
1069,2017-12-19,2017-12,15,38,46,8,30,4,7,1,Terça-Feira
1070,2017-12-22,2017-12,5,30,24,31,43,3,6,0,Sexta-Feira
1071,2017-12-26,2017-12,30,4,17,44,43,10,2,0,Terça-Feira
1072,2017-12-29,2017-12,4,48,8,22,23,1,12,1,Sexta-Feira
1073,2018-01-02,2018-01,20,10,21,48,28,1,8,0,Terça-Feira
1074,2018-01-05,2018-01,41,38,20,5,2,4,8,0,Sexta-Feira
1075,2018-01-09,2018-01,6,49,38,12,15,9,2,0,Terça-Feira
1076,2018-01-12,2018-01,45,30,21,13,23,6,4,0,Sexta-Feira
1077,2018-01-16,2018-01,46,34,31,20,23,3,12,0,Terça-Feira
1078,2018-01-19,2018-01,44,3,17,50,8,2,7,0,Sexta-Feira
1079,2018-01-23,2018-01,5,23,8,9,24,7,8,0,Terça-Feira
1080,2018-01-26,2018-01,28,15,24,48,6,9,4,0,Sexta-Feira
1081,2018-01-30,2018-01,11,15,35,27,21,5,4,0,Terça-Feira
1082,2018-02-02,2018-02,36,39,34,14,48,2,3,0,Sexta-Feira
1083,2018-02-06,2018-02,8,28,17,38,34,6,12,0,Terça-Feira
1084,2018-02-09,2018-02,38,22,31,44,36,11,1,0,Sexta-Feira
1085,2018-02-13,2018-02,13,44,10,21,17,10,1,0,Terça-Feira
1086,2018-02-16,2018-02,23,32,50,12,10,10,4,0,Sexta-Feira
1087,2018-02-20,2018-02,6,25,14,19,29,11,5,0,Terça-Feira
1088,2018-02-23,2018-02,18,17,28,47,10,3,7,2,Sexta-Feira
1089,2018-02-27,2018-02,48,31,3,41,50,11,8,0,Terça-Feira
1090,2018-03-02,2018-03,2,7,34,48,45,1,12,0,Sexta-Feira
1091,2018-03-06,2018-03,26,44,20,31,15,2,9,0,Terça-Feira
1092,2018-03-09,2018-03,44,9,14,21,32,12,1,0,Sexta-Feira
1093,2018-03-13,2018-03,11,9,13,33,49,12,6,1,Terça-Feira
1094,2018-03-16,2018-03,31,4,27,24,17,11,10,0,Sexta-Feira
1095,2018-03-20,2018-03,44,39,29,26,37,9,11,0,Terça-Feira
1096,2018-03-23,2018-03,46,5,50,7,11,11,8,0,Sexta-Feira
1097,2018-03-27,2018-03,46,40,20,23,17,9,10,0,Terça-Feira
1098,2018-03-30,2018-03,35,47,28,17,12,7,11,0,Sexta-Feira
1099,2018-04-03,2018-04,43,3,40,16,8,8,5,0,Terça-Feira
1100,2018-04-06,2018-04,45,47,29,33,1,4,8,1,Sexta-Feira
1101,2018-04-10,2018-04,48,14,39,46,27,11,12,1,Terça-Feira
1102,2018-04-13,2018-04,48,50,34,25,5,7,6,0,Sexta-Feira
1103,2018-04-17,2018-04,39,15,33,27,50,6,4,0,Terça-Feira
1104,2018-04-20,2018-04,44,39,3,25,16,11,7,0,Sexta-Feira
1105,2018-04-24,2018-04,28,44,30,23,20,3,7,1,Terça-Feira
1106,2018-04-27,2018-04,24,40,12,41,46,5,12,0,Sexta-Feira
1107,2018-05-01,2018-05,48,42,15,17,6,4,6,0,Terça-Feira
1108,2018-05-04,2018-05,23,6,12,45,39,12,9,0,Sexta-Feira
1109,2018-05-08,2018-05,17,35,25,39,44,5,2,1,Terça-Feira
1110,2018-05-11,2018-05,22,34,3,50,49,11,8,0,Sexta-Feira
1111,2018-05-15,2018-05,20,16,4,31,39,2,12,0,Terça-Feira
1112,2018-05-18,2018-05,8,31,5,10,13,6,3,0,Sexta-Feira
1113,2018-05-22,2018-05,48,11,1,37,41,8,12,0,Terça-Feira
1114,2018-05-25,2018-05,13,16,15,41,28,4,5,0,Sexta-Feira
1115,2018-05-29,2018-05,20,43,6,38,11,4,2,0,Terça-Feira
1116,2018-06-01,2018-06,29,17,40,24,18,4,5,2,Sexta-Feira
1117,2018-06-05,2018-06,39,46,9,22,15,5,4,1,Terça-Feira
1118,2018-06-08,2018-06,43,46,8,32,19,8,2,1,Sexta-Feira
1119,2018-06-12,2018-06,36,38,23,21,7,6,8,0,Terça-Feira
1120,2018-06-15,2018-06,26,23,49,33,38,1,12,0,Sexta-Feira
1121,2018-06-19,2018-06,26,7,19,50,42,9,4,1,Terça-Feira
1122,2018-06-22,2018-06,44,39,41,14,25,8,2,0,Sexta-Feira
1123,2018-06-26,2018-06,20,34,16,15,50,7,4,0,Terça-Feira
1124,2018-06-29,2018-06,15,21,40,23,48,3,12,0,Sexta-Feira
1125,2018-07-03,2018-07,15,29,12,48,1,5,3,0,Terça-Feira
1126,2018-07-06,2018-07,30,8,48,33,38,10,2,0,Sexta-Feira
1127,2018-07-10,2018-07,3,33,26,8,45,10,7,1,Terça-Feira
1128,2018-07-13,2018-07,49,14,4,1,21,2,12,1,Sexta-Feira
1129,2018-07-17,2018-07,4,50,6,27,48,1,11,0,Terça-Feira
1130,2018-07-20,2018-07,15,2,43,40,46,3,6,0,Sexta-Feira
1131,2018-07-24,2018-07,40,23,2,4,39,3,9,0,Terça-Feira
1132,2018-07-27,2018-07,17,23,11,22,41,11,6,0,Sexta-Feira
1133,2018-07-31,2018-07,25,34,20,42,45,6,11,0,Terça-Feira
1134,2018-08-03,2018-08,26,38,36,43,7,12,6,0,Sexta-Feira
1135,2018-08-07,2018-08,30,29,28,36,16,10,8,0,Terça-Feira
1136,2018-08-10,2018-08,43,44,20,18,36,9,3,0,Sexta-Feira
1137,2018-08-14,2018-08,31,1,15,25,18,9,11,0,Terça-Feira
1138,2018-08-17,2018-08,18,24,2,43,15,8,12,0,Sexta-Feira
1139,2018-08-21,2018-08,43,16,49,23,42,12,10,1,Terça-Feira
1140,2018-08-24,2018-08,31,36,50,14,3,12,1,0,Sexta-Feira
1141,2018-08-28,2018-08,42,46,4,16,32,12,8,0,Terça-Feira
1142,2018-08-31,2018-08,4,42,30,38,31,4,6,0,Sexta-Feira
1143,2018-09-04,2018-09,47,5,28,30,14,11,4,1,Terça-Feira
1144,2018-09-07,2018-09,50,31,27,4,23,1,8,0,Sexta-Feira
1145,2018-09-11,2018-09,32,18,9,38,46,2,3,0,Terça-Feira
1146,2018-09-14,2018-09,45,40,33,1,3,4,3,0,Sexta-Feira
1147,2018-09-18,2018-09,10,32,45,8,3,4,12,0,Terça-Feira
1148,2018-09-21,2018-09,5,7,37,25,21,3,4,0,Sexta-Feira
1149,2018-09-25,2018-09,38,6,20,30,15,4,7,0,Terça-Feira
1150,2018-09-28,2018-09,4,8,50,2,27,2,9,0,Sexta-Feira
1151,2018-10-02,2018-10,45,29,37,7,17,11,3,1,Terça-Feira
1152,2018-10-05,2018-10,16,8,26,35,24,11,3,1,Sexta-Feira
1153,2018-10-09,2018-10,3,45,44,12,36,11,8,0,Terça-Feira
1154,2018-10-12,2018-10,31,4,12,43,9,8,5,0,Sexta-Feira
1155,2018-10-16,2018-10,15,28,42,37,40,1,6,0,Terça-Feira
1156,2018-10-19,2018-10,1,3,47,29,48,12,3,0,Sexta-Feira
1157,2018-10-23,2018-10,32,2,1,5,21,12,2,0,Terça-Feira
1158,2018-10-26,2018-10,5,31,18,21,35,6,9,0,Sexta-Feira
1159,2018-10-30,2018-10,44,27,23,17,43,1,12,0,Terça-Feira
1160,2018-11-02,2018-11,15,37,5,17,44,11,7,1,Sexta-Feira
1161,2018-11-06,2018-11,14,36,24,43,40,2,9,0,Terça-Feira
1162,2018-11-09,2018-11,49,17,37,32,14,11,12,0,Sexta-Feira
1163,2018-11-13,2018-11,10,7,13,2,42,6,3,0,Terça-Feira
1164,2018-11-16,2018-11,9,10,28,41,13,12,1,1,Sexta-Feira
1165,2018-11-20,2018-11,6,48,19,45,39,7,12,0,Terça-Feira
1166,2018-11-23,2018-11,25,30,5,26,8,3,10,0,Sexta-Feira
1167,2018-11-27,2018-11,17,16,4,32,18,11,2,0,Terça-Feira
1168,2018-11-30,2018-11,3,10,26,23,12,12,1,0,Sexta-Feira
1169,2018-12-04,2018-12,21,19,45,20,42,8,9,0,Terça-Feira
1170,2018-12-07,2018-12,17,11,37,48,26,1,10,0,Sexta-Feira
1171,2018-12-11,2018-12,4,13,7,42,23,1,3,0,Terça-Feira
1172,2018-12-14,2018-12,29,12,38,44,42,12,2,0,Sexta-Feira
1173,2018-12-18,2018-12,1,18,39,48,9,7,5,0,Terça-Feira
1174,2018-12-21,2018-12,12,2,34,50,15,4,3,0,Sexta-Feira
1175,2018-12-25,2018-12,8,4,43,31,5,9,2,0,Terça-Feira
1176,2018-12-28,2018-12,34,16,35,45,13,10,12,0,Sexta-Feira
1177,2019-01-01,2019-01,11,25,8,28,1,4,6,1,Terça-Feira
1178,2019-01-04,2019-01,19,7,11,37,27,10,6,0,Sexta-Feira
1179,2019-01-08,2019-01,19,32,31,3,22,2,11,0,Terça-Feira
1180,2019-01-11,2019-01,19,48,31,39,1,6,1,0,Sexta-Feira
1181,2019-01-15,2019-01,33,22,35,25,29,3,6,0,Terça-Feira
1182,2019-01-18,2019-01,5,16,46,6,30,5,10,0,Sexta-Feira
1183,2019-01-22,2019-01,29,49,41,9,23,8,10,0,Terça-Feira
1184,2019-01-25,2019-01,15,16,13,6,1,6,10,0,Sexta-Feira
1185,2019-01-29,2019-01,39,14,24,32,26,8,3,0,Terça-Feira
1186,2019-02-01,2019-02,3,41,26,46,21,6,1,0,Sexta-Feira
1187,2019-02-05,2019-02,31,43,14,25,37,2,3,0,Terça-Feira
1188,2019-02-08,2019-02,46,12,13,39,11,7,10,0,Sexta-Feira
1189,2019-02-12,2019-02,34,36,50,41,6,1,5,0,Terça-Feira
1190,2019-02-15,2019-02,49,38,27,34,15,2,10,0,Sexta-Feira
1191,2019-02-19,2019-02,19,8,18,1,39,9,7,1,Terça-Feira
1192,2019-02-22,2019-02,50,33,29,3,27,7,3,0,Sexta-Feira
1193,2019-02-26,2019-02,29,47,15,3,35,4,3,0,Terça-Feira
1194,2019-03-01,2019-03,9,19,26,31,6,12,11,0,Sexta-Feira
1195,2019-03-05,2019-03,16,10,46,39,6,8,11,0,Terça-Feira
1196,2019-03-08,2019-03,40,17,24,19,18,8,4,0,Sexta-Feira
1197,2019-03-12,2019-03,5,13,7,19,31,9,2,0,Terça-Feira
1198,2019-03-15,2019-03,46,24,42,15,3,12,9,1,Sexta-Feira
1199,2019-03-19,2019-03,9,6,1,47,34,12,7,0,Terça-Feira
1200,2019-03-22,2019-03,17,43,26,4,30,11,6,0,Sexta-Feira
